Option Symbol,Book Value,Market Value,Book/Market,EPS,Company P/E,Industry P/E
VEDL      ,188.03,128.85,1.459293752425301,0,0,8.25
WIPRO     ,81.29,272.05,0.29880536666054036,15.5,17.55,23.35
ZEEL      ,79.69,213.85,0.37264437689969604,3.12,68.54,27.23
BHARTIARTL,185.27,523.45,0.3539402044130289,0,0,119.79
CANBK     ,229.68,114.8,2.0006968641114984,0,0,16.04
COLPAL    ,58.61,1390.2,0.042159401524960435,31.09,44.72,68.9
CONCOR    ,165.19,409.1,0.40378880469322903,3.44,118.92,49.46
DLF       ,108.29,173.05,0.6257728980063565,5.82,29.73,17.6
EXIDEIND  ,74.07,172.35,0.4297650130548303,7.59,22.71,18.5
HEROMOTOCO,706.93,3059.3,0.23107573627954103,122.01,25.07,18.48
ICICIBANK ,186.18,409.7,0.4544300707835002,12.5,32.78,27.33
IDEA      ,3.13,10.1,0.3099009900990099,0,0,2.39
IDFCFIRSTB,28.57,33.65,0.849034175334324,0,0,27.33
JSWSTEEL  ,158.46,280.7,0.564517278232989,15.32,18.32,9.54
LICHSGFIN ,360.5,314.3,1.1469933184855234,51.69,6.08,15.19
MARUTI    ,1603.45,7104.1,0.22570768992553594,131.28,54.11,42.08
MUTHOOTFIN,288.52,1208.45,0.23875212048491867,82.71,14.61,31.21
NATIONALUM,53.54,37.55,1.4258322237017311,0.74,50.74,64.43
NMDC      ,89.93,107.5,0.8365581395348838,11.79,9.12,8.25
PAGEIND   ,735.06,20119.8,0.03653416037932782,307.72,65.38,34.46
PEL       ,1003.29,1511.2,0.6639028586553731,9.34,161.8,36.69
PFC       ,171.07,98.2,1.7420570264765782,22.62,4.34,4.91
PNB       ,61.77,37.05,1.6672064777327937,0,0,16.04
POWERGRID ,123.17,182.3,0.6756445419637959,19.81,9.2,12.08
RBLBANK   ,208.01,210.5,0.9881710213776722,7.47,28.18,27.33
SAIL      ,96.3,40.95,2.3516483516483513,4.89,8.37,9.54
SBIN      ,233.34,224.85,1.037758505670447,18.34,12.26,16.04
SIEMENS   ,253.95,1221.15,0.20795971010932315,21.36,57.17,46.96
TATACHEM  ,470.15,327.9,1.4338212869777371,269.8,1.22,1.83
TORNTPOWER,191.16,344.6,0.554730121880441,27.64,12.47,11.93
VOLTAS    ,119.55,661.85,0.1806300521266148,15.89,41.65,38.07
AMARAJABAT,214.01,734.95,0.2911898768623716,34.11,21.55,18.5
BALKRISIND,260.1,1379.7,0.18851924331376388,46.08,29.94,19.39
BATAINDIA ,147.56,1340.75,0.11005780346820809,9.73,137.8,49.47
BIOCON    ,62.8,391.55,0.16038820074064614,3.45,113.49,36.69
HDFCLIFE  ,33.65,589.35,0.05709680156104182,6.55,89.98,71.07
MANAPPURAM,63.37,156.65,0.40453239706351735,16.32,9.6,31.21
NESTLEIND ,200.41,16101.25,0.01244685971586057,215.78,74.62,67.51
SRTRANSFIN,770.46,772.75,0.9970365577483016,86.45,8.94,31.21
TATASTEEL ,661.73,424.2,1.5599481376709101,56.8,7.47,9.54
GMRINFRA  ,19.99,25.75,0.7763106796116505,0,0,17.69
NAUKRI    ,189.6,3389.95,0.055930028466496556,15.99,212.0,48.22
PIDILITIND,87.87,1445.5,0.06078865444482878,17.14,84.33,51.05
MOTHERSUMI,19.77,116.65,0.1694813544792113,1.9,61.39,44.62
SRF       ,814.75,4226.0,0.19279460482725982,162.3,26.04,25.01
TVSMOTOR  ,76.16,449.75,0.1693385214007782,6.54,68.77,18.48
