,Stock,MCCode,StockCode,Link,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
28,CADILA HEALTHCARE LIMITED           ,CHC,CADILAHC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
29,CANARA BANK                         ,CB06,CANBK,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
30,CHOLAMANDALAM IN & FIN CO           ,CIF01,CHOLAFIN,https://www.moneycontrol.com/india/stockpricequote/finance-leasinghire-purchase/cholamandalaminvestmentfinancecompany/CDB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
31,CIPLA LTD                           ,C,CIPLA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
32,COAL INDIA LTD                      ,CI29,COALINDIA,https://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
33,COFORGE LIMITED                     ,,COFORGE,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
34,COLGATE PALMOLIVE LTD.              ,CPI,COLPAL,https://www.moneycontrol.com/india/stockpricequote/personal-care/colgatepalmoliveindia/CPI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
35,CONTAINER CORP OF IND LTD           ,CCI,CONCOR,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
36,CUMMINS INDIA LTD                   ,CI02,CUMMINSIND,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
37,DABUR INDIA LTD                     ,DI,DABUR,https://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
38,DIVI'S LABORATORIES LTD             ,DL03,DIVISLAB,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
39,DLF LIMITED                         ,D04,DLF,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/dlf/D04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
40,DR. REDDY'S LABORATORIES            ,DRL,DRREDDY,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
41,EICHER MOTORS LTD                   ,EM,EICHERMOT,https://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/eichermotors/EM,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
42,ESCORTS INDIA LTD                   ,E,ESCORTS,https://www.moneycontrol.com/india/stockpricequote/auto-tractors/escorts/E,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
43,EXIDE INDUSTRIES LTD                ,EI,EXIDEIND,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/exideindustries/EI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
44,FEDERAL BANK LTD                    ,FB,FEDERALBNK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
45,GAIL (INDIA) LTD                    ,GAI,GAIL,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/gailindia/GAI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
46,GLENMARK PHARMACEUTICALS            ,GP08,GLENMARK,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
47,GMR INFRASTRUCTURE LTD.             ,GI27,GMRINFRA,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/gmrinfrastructure/GI27,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
48,GODREJ CONSUMER PRODUCTS            ,GCP,GODREJCP,https://www.moneycontrol.com/india/stockpricequote/personal-care/godrejconsumerproducts/GCP,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
49,GODREJ PROPERTIES LTD               ,,GODREJPROP,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/godrejproperties/GP11,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
50,GRASIM INDUSTRIES LTD               ,GI01,GRASIM,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
51,HAVELLS INDIA LIMITED               ,HI01,HAVELLS,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/havellsindia/HI01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
52,HCL TECHNOLOGIES LTD                ,HCL02,HCLTECH,https://www.moneycontrol.com/india/stockpricequote/computers-software/hcltechnologies/HCL02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
53,HDFC BANK LTD                       ,HDF01,HDFCBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
54,HDFC LIFE INS CO LTD                ,,HDFCLIFE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfclifeinsurancecompanylimited/HSL01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
55,HDFC LTD                            ,HDF,HDFC,https://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
56,HERO MOTOCORP LIMITED               ,HHM,HEROMOTOCO,https://www.moneycontrol.com/india/stockpricequote/auto-23-wheelers/heromotocorp/HHM,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
57,HINDALCO  INDUSTRIES  LTD           ,H,HINDALCO,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
58,HINDUSTAN PETROLEUM CORP            ,HPC,HINDPETRO,https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
59,HINDUSTAN UNILEVER LTD.             ,HL,HINDUNILVR,https://www.moneycontrol.com/india/stockpricequote/personal-care/hindustanunilever/HU,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
60,ICICI BANK LTD.                     ,ICI02,ICICIBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
